出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,11024,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
晚間班機,TPE,晚間抵達,4,0,0,1,150,-0.059982,1.5913391,3,3823,4196.523,4033.0361,3822.2080318734015,4337.742100441698,ICN
晚間班機,TPE,晚間抵達,2,1,1,1,150,-0.059982,1.5913391,4,9843,10917.709,10478.582,8767.932749204621,11997.024916638466,ICN
下午班機,TPE,下午抵達,2,2,0,1,145,-0.059982,1.5913391,12,6532,7908.3926,7782.8433,6956.004232572765,9160.168502892808,ICN
早晨班機,TPE,上午抵達,1,0,2,1,145,-0.059982,1.5913391,4,16084,17127.678,16634.584,14642.092686485346,18372.133892245416,ICN
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,12,4927,5496.3027,5478.737,5139.914311137879,5742.084036669282,ICN
下午班機,TPE,下午抵達,1,2,2,1,140,-0.059982,1.5913391,12,13637,14882.584,15006.257,12105.186153027618,16715.715705510014,ICN
下午班機,TPE,晚間抵達,1,1,1,1,150,-0.059982,1.5913391,12,10889,12240.723,11668.108,9805.426862314136,13629.191336477414,ICN
早晨班機,TPE,上午抵達,1,1,0,1,145,-0.059982,1.5913391,4,9804,9486.832,9120.14,8783.020327703527,9547.98913811886,ICN
下午班機,TPE,下午抵達,1,2,2,1,140,-0.059982,1.5913391,14,14497,14412.108,13982.473,10842.464168783612,16200.217116646187,ICN
下午班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,7,9032,7881.9985,7552.3516,6805.515377913156,8498.693858529099,ICN
下午班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,12,10711,13767.058,13672.439,12579.819543792608,14783.837070961803,ICN
晚間班機,TPE,晚間抵達,2,1,0,0,150,-0.059982,1.5913391,4,9671,7475.688,7297.923,6904.655035830424,7844.982834264015,ICN
下午班機,TPE,下午抵達,2,1,0,0,145,-0.059982,1.5913391,12,10924,9514.678,9129.957,8678.58355032432,9629.403017444016,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,4,7744,7185.874,7024.2056,6551.526484346735,7572.710053290714,ICN
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,12,5962,5496.3027,5478.737,5139.914311137879,5742.084036669282,ICN
早晨班機,TPE,上午抵達,2,1,2,1,145,-0.059982,1.5913391,4,12399,16553.98,16430.24,14344.134238002769,17783.75793307917,ICN
下午班機,TPE,晚間抵達,1,1,0,1,140,-0.059982,1.5913391,12,10059,9150.024,9079.105,8079.140849291182,10013.553962457589,ICN
下午班機,TPE,下午抵達,1,2,1,1,140,-0.059982,1.5913391,12,11337,14061.08,13699.067,9777.134984534165,16466.956218721873,ICN
下午班機,TPE,下午抵達,1,2,0,0,140,-0.059982,1.5913391,12,7705,11424.817,11403.4375,9439.747826319404,12332.651424036148,ICN
下午班機,TPE,下午抵達,2,1,0,1,145,-0.059982,1.5913391,12,7407,8396.572,8175.4253,7682.935727136433,8747.446553184429,ICN
下午班機,TPE,下午抵達,4,0,0,1,145,-0.059982,1.5913391,12,5179,5496.3027,5478.737,5139.914311137879,5742.084036669282,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,4,7551,7185.874,7024.2056,6551.526484346735,7572.710053290714,ICN
上午班機,TPE,下午抵達,6,0,0,1,155,-0.059982,1.5913391,1,6061,6255.9873,6034.649,5817.543996195962,6213.498076511154,ICN
下午班機,TPE,晚間抵達,1,1,1,0,140,-0.059982,1.5913391,12,14420,13007.486,12838.129,11035.08806131023,16389.9143954824,ICN
下午班機,TPE,晚間抵達,1,1,1,1,140,-0.059982,1.5913391,12,12272,14696.4375,14502.616,10928.595521333977,17777.155869300725,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,14222,8253.396,8058.4478,7575.397973090894,8589.727530102651,ICN
下午班機,TPE,下午抵達,1,2,0,0,140,-0.059982,1.5913391,12,8422,11424.817,11403.4375,9439.747826319404,12332.651424036148,ICN
下午班機,TPE,下午抵達,6,1,1,1,145,-0.059982,1.5913391,12,8710,9966.372,9956.349,9036.732086840138,11462.412239089856,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,12,6319,8253.396,8058.4478,7575.397973090894,8589.727530102651,ICN
下午班機,TPE,晚間抵達,2,1,2,1,150,-0.059982,1.5913391,12,16644,13767.058,13672.439,12579.819543792608,14783.837070961803,ICN
下午班機,TPE,晚間抵達,1,1,0,1,150,-0.059982,1.5913391,14,7383,9398.097,8916.125,7867.927584399606,9901.510072635661,ICN
下午班機,TPE,下午抵達,4,0,2,1,145,-0.059982,1.5913391,10,8459,8633.223,8788.392,8045.598442328361,9649.438416189434,ICN
晚間班機,TPE,晚間抵達,2,1,0,1,150,-0.059982,1.5913391,3,6068,6947.99,6667.683,6366.257528761411,7125.690224264772,ICN
下午班機,TPE,下午抵達,6,1,1,1,145,-0.059982,1.5913391,12,11241,9966.372,9956.349,9036.732086840138,11462.412239089856,ICN
