出發時段,出發機場代號,抵達時段,航空聯盟,機型分類,假期,是否為平日,飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
早晨班機,TPE,下午抵達,5,0,0,0,285,2.1585612,1.0416285,8,5691,5825.722,5545.1387,5111.230273920831,6097.3842474709245,SIN
晚間班機,TPE,凌晨抵達,2,1,2,0,285,2.1585612,1.0416285,3,12927,12109.542,11130.863,8999.487249812968,12535.431330468533,SIN
上午班機,TPE,下午抵達,1,1,2,0,295,2.1585612,1.0416285,2,15251,11291.886,11687.132,9370.396281815467,14159.793148053714,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,7,6088,6152.7754,6149.2437,5606.016528973632,6732.723844481177,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,7,6107,6152.7754,6149.2437,5606.016528973632,6732.723844481177,SIN
凌晨班機,TPE,早晨抵達,4,1,0,1,285,2.1585612,1.0416285,1,3404,3565.906,3491.526,3063.438030800782,3998.872227155133,SIN
下午班機,TPE,晚間抵達,4,1,2,1,285,2.1585612,1.0416285,5,5497,8732.468,8588.077,7148.064655588707,10243.86618028789,SIN
早晨班機,TPE,下午抵達,1,1,0,1,280,2.1585612,1.0416285,6,6108,6282.4478,6153.0454,5515.832350153673,6748.232935999892,SIN
上午班機,TPE,下午抵達,1,1,2,0,295,2.1585612,1.0416285,2,26694,11291.886,11687.132,9370.396281815467,14159.793148053714,SIN
晚間班機,TPE,凌晨抵達,2,1,0,0,285,2.1585612,1.0416285,3,5566,5794.7754,5704.235,5510.129330498671,5959.31765781704,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,6,5860,6126.4404,5923.0137,5444.667341210113,6684.1739781001215,SIN
晚間班機,TPE,凌晨抵達,2,1,0,0,285,2.1585612,1.0416285,3,6259,5794.7754,5704.235,5510.129330498671,5959.31765781704,SIN
早晨班機,TPE,下午抵達,2,1,2,1,285,2.1585612,1.0416285,6,21999,9902.52,10023.483,8369.679947961606,11648.314709542548,SIN
凌晨班機,TPE,早晨抵達,4,1,0,1,285,2.1585612,1.0416285,1,2606,3565.906,3491.526,3063.438030800782,3998.872227155133,SIN
凌晨班機,TPE,凌晨抵達,4,0,0,1,285,2.1585612,1.0416285,2,2546,3062.7947,3030.2324,2804.5318270296825,3275.4276662456878,SIN
早晨班機,TPE,下午抵達,2,1,0,1,285,2.1585612,1.0416285,6,5913,6126.4404,5923.0137,5444.667341210113,6684.1739781001215,SIN
下午班機,TPE,晚間抵達,1,1,0,1,285,2.1585612,1.0416285,5,9258,6643.566,6454.353,5808.576937942665,7074.252431921826,SIN
上午班機,TPE,下午抵達,1,1,0,1,295,2.1585612,1.0416285,2,6098,6515.993,6381.4224,5620.383360606082,7149.177420091247,SIN
晚間班機,TPE,凌晨抵達,4,1,0,0,285,2.1585612,1.0416285,3,3612,3245.8254,3148.6724,2995.233530485255,3371.358624782929,SIN
