出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TPE,上午抵達,1,1,3,1,1,0,2,1,135,680,-0.389354,-1.56618,98,22759.0,17694.725,17628.963,15766.176256578045,22185.63848850984,SYD
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,290,625,-0.389354,-1.56618,64,25933.0,27224.188,27369.428,25590.00092374597,29520.926752851447,SYD
晚間班機,TPE,下午抵達,0,0,2,1,1,0,1,1,175,645,-0.389354,-1.56618,54,24040.0,23484.117,23437.734,21963.329932135002,24993.79976503896,SYD
下午班機,TPE,早晨抵達,0,0,3,1,1,2,2,1,175,665,-0.389354,-1.56618,101,45642.0,43522.74,42605.105,39984.89909663304,44568.88647389973,SYD
下午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,820,670,-0.389354,-1.56618,107,20304.0,22311.03,22173.805,19573.464384384548,28943.291968564172,SYD
下午班機,TPE,早晨抵達,0,0,3,1,1,0,2,1,175,665,-0.389354,-1.56618,109,18510.0,19404.021,19277.45,17953.248159874933,21737.617988842143,SYD
下午班機,TPE,上午抵達,1,0,2,1,1,0,2,1,270,730,-0.389354,-1.56618,102,41714.0,43870.707,40569.56,34348.51688638057,47449.76605880537,SYD
下午班機,TSA,晚間抵達,1,0,1,1,1,0,2,0,735,750,-0.389354,-1.56618,112,126296.0,128995.43,109675.5,86637.87969987025,133514.0908433082,SYD
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,225,670,-0.389354,-1.56618,109,15941.0,17049.496,16621.31,15287.769152347857,19163.90424335858,SYD
下午班機,TPE,下午抵達,1,1,4,1,1,0,2,1,315,745,-0.389354,-1.56618,107,13177.0,16188.616,16894.012,14213.511476451202,19536.09523519961,SYD
下午班機,TPE,下午抵達,1,1,4,1,1,0,2,0,315,745,-0.389354,-1.56618,102,9169.0,12536.789,12686.226,9545.56935898819,14377.835186927437,SYD
上午班機,TPE,上午抵達,1,1,5,1,1,0,2,1,585,625,-0.389354,-1.56618,34,13182.0,21475.268,20420.998,16704.11333900885,22232.280241750297,SYD
下午班機,TPE,上午抵達,1,1,5,1,1,0,2,0,245,705,-0.389354,-1.56618,102,28814.0,34955.734,34006.348,27318.38547922795,40729.49140348836,SYD
下午班機,TPE,早晨抵達,0,0,3,1,1,0,2,0,175,665,-0.389354,-1.56618,104,18452.0,18499.48,18870.182,17258.80067220217,20530.10428979536,SYD
晚間班機,TPE,上午抵達,1,1,5,1,1,0,2,0,1330,630,-0.389354,-1.56618,62,22391.0,23918.104,22701.44,16154.082676619864,28478.80711896393,SYD
上午班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,440,665,-0.389354,-1.56618,36,35908.0,21121.188,20237.777,17493.73948322358,24096.67676745411,SYD
下午班機,TPE,早晨抵達,1,0,1,1,2,0,2,0,75,770,-0.389354,-1.56618,82,47364.0,57164.168,51285.28,41537.710552024386,64451.63298235826,SYD
下午班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,730,755,-0.389354,-1.56618,104,35404.0,30894.963,28311.496,22044.68265261675,33370.08751666703,SYD
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,430,625,-0.389354,-1.56618,70,20413.0,21737.584,21188.271,20481.179910882653,22232.776934796042,SYD
下午班機,TPE,晚間抵達,1,1,3,1,1,0,2,1,820,670,-0.389354,-1.56618,104,21259.0,17343.045,17039.775,15547.327638908775,20587.096884273506,SYD
上午班機,TPE,上午抵達,1,1,2,1,1,0,2,1,1995,670,-0.389354,-1.56618,47,10553.0,28341.402,28292.521,17096.285151427295,32957.615713617575,SYD
凌晨班機,TPE,上午抵達,1,1,4,1,1,0,2,1,1110,660,-0.389354,-1.56618,2,11981.0,12705.103,12304.891,10668.715704397238,15687.741815068302,SYD
下午班機,TPE,下午抵達,1,1,1,1,1,0,2,1,730,755,-0.389354,-1.56618,106,31611.0,27197.666,27237.25,21860.87732719623,32127.80653382584,SYD
晚間班機,TPE,早晨抵達,1,1,6,1,1,0,2,0,1325,720,-0.389354,-1.56618,77,18929.0,14691.519,12629.1,10913.578612265257,15642.659029317958,SYD
早晨班機,TPE,早晨抵達,1,1,6,1,1,0,2,0,640,720,-0.389354,-1.56618,31,13473.0,17453.521,16649.281,11101.563661671567,18959.26867680914,SYD
下午班機,TPE,早晨抵達,1,1,2,1,1,0,2,1,175,755,-0.389354,-1.56618,105,53650.0,31998.393,32159.162,26755.952048723582,42955.629402361395,SYD
下午班機,TPE,上午抵達,1,1,1,1,2,0,2,0,360,760,-0.389354,-1.56618,82,51895.0,54401.754,47862.285,39737.256862917384,56877.95469590128,SYD
晚間班機,TPE,晚間抵達,0,0,2,1,1,0,1,1,390,625,-0.389354,-1.56618,58,22489.0,22665.916,22965.324,21084.816332337316,25450.84535931358,SYD
下午班機,TPE,上午抵達,1,1,3,1,1,0,2,1,355,680,-0.389354,-1.56618,96,22384.0,16754.285,16238.966,15070.155265086003,18340.954597122152,SYD
下午班機,TSA,上午抵達,1,0,2,1,1,0,2,1,365,745,-0.389354,-1.56618,104,28015.0,30729.844,29267.453,25898.06265639577,32648.389560410564,SYD
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,75,670,-0.389354,-1.56618,100,14551.0,14822.112,14891.202,13440.640864269662,16614.038096789554,SYD
早晨班機,TPE,早晨抵達,1,0,2,1,1,2,2,1,355,770,-0.389354,-1.56618,33,43266.0,48384.38,46985.43,42510.31637352407,52106.485116690965,SYD
上午班機,TPE,下午抵達,1,1,3,1,1,0,2,1,710,680,-0.389354,-1.56618,45,15387.0,19189.857,18893.143,17036.064101921296,21290.843209519022,SYD
上午班機,TSA,下午抵達,0,0,2,1,1,0,2,1,640,745,-0.389354,-1.56618,32,47034.0,39459.914,33940.574,18238.56847456848,45198.28279198609,SYD
下午班機,TPE,下午抵達,1,1,3,1,1,0,2,0,360,670,-0.389354,-1.56618,102,14480.0,18170.861,17755.904,16263.795184510665,20353.711084612736,SYD
