出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
晚間班機,TPE,早晨抵達,1,1,3,1,1,0,2,1,175,1010,-1.262158,1.0504261,95,17739.0,22781.559,20710.988,17862.694194159856,27085.27154133848,LHR
下午班機,TPE,晚間抵達,1,0,3,1,1,0,2,1,990,1030,-1.262158,1.0504261,112,27479.0,35973.18,30960.148,25661.976701482912,37592.038835378,LHR
晚間班機,TPE,下午抵達,1,1,1,1,1,0,1,1,445,1030,-1.262158,1.0504261,113,22517.0,27341.25,23502.11,20417.436573877403,26460.00653674594,LHR
下午班機,TSA,早晨抵達,1,0,3,1,1,0,2,1,260,1035,-1.262158,1.0504261,107,157522.0,117075.05,95728.17,65986.770763102,142323.57178994166,LHR
下午班機,TSA,晚間抵達,1,0,3,1,1,0,2,1,995,1070,-1.262158,1.0504261,105,156174.0,166714.66,137986.45,118639.69304141658,166730.42234527017,LHR
下午班機,TPE,早晨抵達,1,1,3,1,1,0,2,0,380,1010,-1.262158,1.0504261,105,18062.0,23718.795,21059.598,18407.046724350832,26636.052317034642,LHR
下午班機,TPE,下午抵達,1,1,2,1,1,0,2,0,1130,1035,-1.262158,1.0504261,107,26179.0,32237.467,27078.996,23828.433469137508,31050.364220724496,LHR
下午班機,TPE,晚間抵達,1,1,1,1,1,2,2,1,1230,1030,-1.262158,1.0504261,114,28419.0,28953.375,23921.686,21033.56858247688,30796.164357457346,LHR
下午班機,TSA,下午抵達,1,1,2,1,1,0,2,1,1120,815,-1.262158,1.0504261,115,16292.0,36439.57,28850.59,21114.83326959939,57396.09443623572,LHR
晚間班機,TPE,早晨抵達,1,1,3,1,1,2,2,0,175,1010,-1.262158,1.0504261,102,30950.0,35619.504,32352.906,29493.79917965979,38850.0872263018,LHR
晚間班機,TPE,晚間抵達,1,1,3,1,1,0,2,0,945,1005,-1.262158,1.0504261,101,17455.0,21081.924,19799.758,17042.087823703743,25714.51516192685,LHR
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,625,1015,-1.262158,1.0504261,115,17385.0,22598.055,18846.604,16434.408264469355,23925.104535801773,LHR
下午班機,TSA,下午抵達,1,1,3,1,1,0,2,0,865,1035,-1.262158,1.0504261,92,41764.0,60253.55,49556.188,39502.32725088936,62345.90066066016,LHR
晚間班機,TPE,上午抵達,1,0,2,1,1,0,1,1,145,1030,-1.262158,1.0504261,118,25574.0,33537.53,27207.395,23680.926619928316,32848.9814441129,LHR
下午班機,TPE,早晨抵達,1,1,1,1,1,0,1,1,95,1320,-1.262158,1.0504261,112,101802.0,128379.83,98336.29,81556.43824260084,110800.33040807821,LHR
早晨班機,TPE,晚間抵達,1,1,1,1,1,0,2,1,165,1030,-1.262158,1.0504261,35,15520.0,22828.406,18762.275,16712.781383755617,21957.51795941258,LHR
