出發時段,出發機場代號,抵達時段,航空聯盟組合,航空公司組合,航空聯盟,停靠站數量,機型分類,假期,飛行時間兩段分類,是否為平日,停留時間_分鐘,實際飛行時間_分鐘,經濟指標,機場指標,competing_flights,平均價格,預測_平均價格,預測中位數,預測區間下界,預測區間上界,抵達機場代號
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,1,710,1050,0.5468126,0.5891658,58,110234.0,115788.78,112530.68,107815.33451129112,117152.1799619183,JFK
下午班機,TSA,上午抵達,1,1,3,1,1,0,2,0,940,945,0.5468126,0.5891658,58,141103.0,160892.0,159077.31,144063.48360371063,184360.04019003312,JFK
下午班機,TPE,凌晨抵達,1,1,3,1,1,0,2,0,715,1050,0.5468126,0.5891658,62,133306.0,128310.06,127288.47,118366.8507777479,136317.8301639856,JFK
晚間班機,TPE,晚間抵達,1,0,1,1,0,0,1,1,996,953,0.5468126,0.5891658,76,133000.0,137961.45,122676.91,110329.0322728341,135735.18968588256,JFK
上午班機,TSA,晚間抵達,1,1,3,1,1,0,2,1,385,945,0.5468126,0.5891658,35,142096.0,154093.47,144319.7,135731.646089911,158685.94629751492,JFK
上午班機,TPE,晚間抵達,1,0,1,1,1,0,1,1,474,995,0.5468126,0.5891658,29,132170.0,121380.375,128215.51,116267.22280657812,137527.07825040503,JFK
下午班機,TSA,上午抵達,1,0,2,1,2,0,2,1,960,990,0.5468126,0.5891658,52,166290.0,176629.58,166750.11,154365.70295215375,185558.0483581354,JFK
下午班機,TPE,上午抵達,1,1,1,1,1,0,2,1,1010,990,0.5468126,0.5891658,52,91337.0,89636.17,91185.914,86857.55675317481,94489.6259987101,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,705,1065,0.5468126,0.5891658,29,146530.0,145584.56,142297.28,130767.0384896409,150303.10721354006,JFK
晚間班機,TPE,下午抵達,1,0,1,1,0,0,1,0,871,999,0.5468126,0.5891658,71,140580.0,154063.19,140097.3,125582.68639600876,152559.94334260916,JFK
晚間班機,TPE,下午抵達,1,1,3,1,1,0,2,1,605,1070,0.5468126,0.5891658,65,114566.0,147456.28,134149.28,118646.09436882123,148684.575502648,JFK
下午班機,TPE,下午抵達,1,1,1,1,1,0,2,1,1040,1375,0.5468126,0.5891658,58,162487.0,156266.98,155519.77,137710.91589472833,173207.33536034025,JFK
晚間班機,TPE,早晨抵達,1,0,1,1,0,0,1,1,280,939,0.5468126,0.5891658,29,152577.0,141351.03,121665.586,107058.89646145926,142562.09182334182,JFK
