出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測最低價格,最低價格,效能,最佳效能,標準化效能
下午1:50,下午班機,TSA,GMP,CI 835,19911.0,18009.24,18429,0.09551303299683583,0.07443121892421274,1.28323886639676
下午1:30,下午班機,TSA,GMP,JX 745,20309.75,18346.201,18469,0.09668011669272143,0.09063380888489518,1.066711394811897
清晨7:00,早晨班機,TSA,GMP,CI 833,20820.25,19342.941,19586,0.07095539198616736,0.059281228611568065,1.196928499088516
上午8:25,早晨班機,TSA,GMP,BR 211,21267.75,20683.506,21166,0.027470889022110884,0.00478423904738395,5.741955773955762
上午8:05,早晨班機,TSA,GMP,BR 67,21367.5,20683.506,21166,0.032010951210951155,0.00943020943020943,3.394511166253096
清晨7:35,早晨班機,TSA,GMP,BR 75,21368.5,20560.0,21166,0.037836067108126446,0.009476565973278424,3.9925925925925925
下午6:50,晚間班機,TSA,GMP,TG 635,16906.0,18429.725,16653,-0.09012924405536488,0.01496510114752159,-6.022628458498018
晚上10:30,晚間班機,TSA,GMP,CI 837,19281.25,17931.76,18140,0.06998975688816864,0.059189627228525124,1.1824665936473178
晚上8:45,晚間班機,TSA,GMP,BR 205,21363.75,18429.725,21166,0.13733660991164948,0.009256333742905623,14.837041719342611
晚上10:30,晚間班機,TSA,GMP,BR 61,21312.25,20488.715,21166,0.03864139168787903,0.006862250583584559,5.631008547008546
上午10:05,晚間班機,TSA,GMP,CI 831,19733.0,19871.736,19586,-0.007030659301677433,0.007449450159631075,-0.9437823129251754
上午9:25,晚間班機,TSA,GMP,JX 741,27074.5,19485.988,20807,0.2802826275646826,0.23149088625828732,1.210771759074591
上午9:40,晚間班機,TSA,GMP,BR 201,29498.5,21206.273,21358,0.2811067342407241,0.2759631845687069,1.018638535716479
下午1:55,下午班機,TSA,GMP,TG 633,16680.25,15942.83,15359,0.04420916952683563,0.07921044348855683,0.5581229895931883
下午1:50,下午班機,TSA,GMP,CI 835,19927.75,18009.24,18429,0.09627328725019124,0.07520919321047283,1.280073394495412
下午1:30,下午班機,TSA,GMP,JX 745,19717.75,18346.201,18469,0.0695591028388127,0.06333126244120145,1.0983375375375368
清晨7:00,早晨班機,TSA,GMP,CI 833,20825.5,19156.81,19586,0.08012724784518972,0.059518378910470335,1.346260588947155
上午8:25,早晨班機,TSA,GMP,BR 211,21379.0,20801.443,21166,0.027015155058702497,0.009963047850694608,2.7115352112676088
上午8:05,早晨班機,TSA,GMP,BR 67,21271.75,21013.432,21170,0.012143711730346554,0.004783339405549614,2.538751842751836
下午6:50,晚間班機,TSA,GMP,TG 635,16669.75,19322.402,16555,-0.15912968100901323,0.0068837265105955395,-23.116793028322427
晚上10:30,晚間班機,TSA,GMP,CI 837,19233.25,18677.705,18140,0.028884613884808768,0.05684166742490219,0.508159158472443
晚上8:45,晚間班機,TSA,GMP,BR 205,22429.75,19322.402,21166,0.13853689853877113,0.05634258072426131,2.458831256181999
上午10:05,晚間班機,TSA,GMP,CI 831,20473.5,19871.736,19586,0.029392336434903618,0.043348719075878575,0.678043943661971
上午9:25,晚間班機,TSA,GMP,JX 741,27215.75,19485.988,18469,0.2840179675371797,0.32138559473834083,0.8837296138565752
上午9:40,晚間班機,TSA,GMP,BR 201,21288.25,21206.273,21170,0.0038508097189763816,0.005554707409016711,0.6932515856236698
下午1:55,下午班機,TSA,GMP,TG 633,16688.0,16931.432,15359,-0.014587248322147693,0.07963806327900287,-0.18316930022573416
下午1:50,下午班機,TSA,GMP,CI 835,19884.25,18695.83,18429,0.05976690093918545,0.07318606434741064,0.8166431884555907
清晨7:00,早晨班機,TSA,GMP,CI 833,20825.75,19342.941,19586,0.07120074907266251,0.059529668799443,1.1960548497680994
上午8:25,早晨班機,TSA,GMP,BR 211,25936.75,20560.0,21170,0.20730237982785044,0.18378362747838492,1.127969790737924
