航空聯盟_1,抵達時段_下午抵達,航空聯盟_2,Region_日本,出發時段_下午班機,出發時段_晚間班機,是否為平日_1,抵達時段_凌晨抵達,抵達時段_晚間抵達,Region_香港,出發機場代號_TSA,出發時段_早晨班機,Region_泰國,出發時段_凌晨班機,假期_1,機型分類_1,機型分類_2,Region_韓國,抵達時段_早晨抵達,航空聯盟_3,飛行時間_分鐘,經濟指標,機場指標,competing_flights,最低價格_log
True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,0.21203825698589707,-0.6749579341012967,-1.3551197141281548,-0.39785160956828586,9.12
False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,-0.8051295613838646,0.6246268453864163,-0.31504866218429634,0.5415084518706015,8.38
False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,-0.8975993630538429,0.6246268453864163,-0.31504866218429634,0.5415084518706015,8.38
True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.9689644887154854,1.9670549120379353,1.0758214326976192,-0.710971630047915,8.64
False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,1.2292060753556586,-1.585210118661023,0.38927453841933285,-0.39785160956828586,7.93
False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1.2292060753556586,-1.585210118661023,0.38927453841933285,-1.0240916505275441,8.6
False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,0.2283884313909724,8.19
False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.11956845531591873,-0.6749579341012967,0.7634160655025196,-1.1806516607673587,8.4
True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,-1.0825389663937997,0.6246268453864163,-0.31504866218429634,0.6980684621104161,8.22
False,False,False,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,0.11956845531591873,-0.6749579341012967,-1.3551197141281548,0.2283884313909724,9.64
False,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,0.11956845531591873,-0.6749579341012967,-1.3551197141281548,1.3243085030696744,9.74
False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-1.0825389663937997,0.6246268453864163,-0.31504866218429634,2.107108554268747,7.27
False,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.21203825698589707,-0.6749579341012967,-1.3551197141281548,1.1677484928298598,8.61
True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.11956845531591873,-0.6749579341012967,-1.3551197141281548,0.8546284723502307,9.12
True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,-1.0825389663937997,0.6246268453864163,-0.31504866218429634,0.38494844163078695,8.25
False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,1.4808685133094888,7.61
True,False,False,True,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,0.11956845531591873,-0.6749579341012967,-1.3551197141281548,0.8546284723502307,9.2
False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,-1.0825389663937997,0.6246268453864163,-0.31504866218429634,2.107108554268747,7.27
False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.11956845531591873,-0.6749579341012967,-1.3551197141281548,1.1677484928298598,9.2
True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,0.8546284723502307,8.22
False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,-0.8975993630538429,0.6246268453864163,-0.31504866218429634,0.5415084518706015,8.38
True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,1.1367362736856803,-1.585210118661023,0.38927453841933285,-0.24129159932847127,8.62
True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,1.1367362736856803,-1.585210118661023,0.38927453841933285,-0.710971630047915,8.62
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,-0.08473158908865673,7.58
False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,-0.8051295613838646,0.6246268453864163,-0.31504866218429634,1.793988533789118,8.38
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,-0.5277201563739295,0.016973802285060704,1.677123745518787,0.2283884313909724,8.69
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,1.4141456786956152,-1.585210118661023,0.38927453841933285,-0.5544116198081004,8.79
False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,-1.0825389663937997,0.6246268453864163,-0.31504866218429634,2.107108554268747,7.83
False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1.1367362736856803,-1.585210118661023,0.38927453841933285,-0.5544116198081004,8.22
True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,1.4141456786956152,-1.585210118661023,0.38927453841933285,-0.5544116198081004,9.11
True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,-0.08473158908865673,8.6
True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,-0.5544116198081004,8.25
False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,2.0614342903854634,1.9670549120379353,1.0758214326976192,-1.3372116710071733,7.97
False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,-0.8975993630538429,0.6246268453864163,-0.31504866218429634,0.6980684621104161,8.19
True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.9689644887154854,1.9670549120379353,1.0758214326976192,-0.39785160956828586,8.66
False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,1.793988533789118,7.7
True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,0.11956845531591873,-0.6749579341012967,-1.3551197141281548,0.2283884313909724,9.31
False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.5277201563739295,0.016973802285060704,-2.6804335880442713,-1.4937716812469877,8.27
True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,1.4141456786956152,-1.585210118661023,0.38927453841933285,-0.24129159932847127,8.63
False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,0.6980684621104161,8.18
True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,1.1367362736856803,-1.585210118661023,0.38927453841933285,-0.08473158908865673,8.65
False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0.11956845531591873,-0.6749579341012967,-1.3551197141281548,1.0111884825900452,8.43
False,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,-0.06537114802403793,-0.6749579341012967,0.7634160655025196,-1.0240916505275441,9.65
False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,1.321675877025637,-1.585210118661023,0.38927453841933285,-0.08473158908865673,8.5
False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,0.5415084518706015,8.24
False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,-0.06537114802403793,-0.6749579341012967,0.7634160655025196,-1.4937716812469877,8.63
False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,0.5415084518706015,7.58
True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.21203825698589707,-0.6749579341012967,-1.3551197141281548,-0.5544116198081004,9.15
False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,2.0614342903854634,1.9670549120379353,1.0758214326976192,-1.1806516607673587,8.52
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,-0.08473158908865673,7.61
False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.11956845531591873,-0.6749579341012967,-1.3551197141281548,1.1677484928298598,9.06
True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,-0.5544116198081004,8.25
False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.11956845531591873,-0.6749579341012967,-1.3551197141281548,0.8546284723502307,9.06
False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,-1.175008768063778,0.6246268453864163,-0.31504866218429634,0.5415084518706015,8.19
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,-0.7126597597138863,0.6246268453864163,-0.31504866218429634,-0.5544116198081004,8.38
False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21203825698589707,-0.6749579341012967,-1.3551197141281548,1.3243085030696744,8.47
True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.21203825698589707,-0.6749579341012967,-1.3551197141281548,-0.5544116198081004,9.12
False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,-0.39785160956828586,8.19
False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,-0.06537114802403793,-0.6749579341012967,0.7634160655025196,-1.0240916505275441,9.13
False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,-0.9900691647238212,0.6246268453864163,-0.31504866218429634,2.107108554268747,7.58
False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,-1.175008768063778,0.6246268453864163,-0.31504866218429634,1.4808685133094888,8.24
False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1.1367362736856803,-1.585210118661023,0.38927453841933285,-0.5544116198081004,8.03
False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2.0614342903854634,1.9670549120379353,1.0758214326976192,-1.3372116710071733,8.56
False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,-0.06537114802403793,-0.6749579341012967,0.7634160655025196,-1.4937716812469877,9.67
