出發時間,出發時段,出發機場代號,抵達機場代號,航班代碼,隨機購買平均價格,預測中位數價格,中位數價格,效能,最佳效能,標準化效能
中午12:50,下午班機,TSA,NRT,CX 450,22274.25,22582.470048171876,22275.0,-0.01383750510889819,0.0003254879513339394,-42.513110092672484
下午1:40,下午班機,TSA,ICN,OZ 712,14502.75,15299.717455879749,14100.0,-0.05495285072691378,0.09651617796624778,-0.5693641406535087
下午2:35,下午班機,TSA,NRT,CI 108,22059.5,23412.129548281555,23318.0,-0.061317325790772904,0.06820190847480677,-0.8990558645939215
下午4:30,下午班機,TSA,HND,BR 190,30744.25,30595.060229137707,27366.0,0.004852607263546607,0.11082560153524643,0.0437859772139681
下午1:30,下午班機,TSA,ICN,JX 745,32013.0,28836.64164353961,32012.0,0.09922089015276264,0.00034361040827163964,288.7598505873082
下午2:25,下午班機,TSA,HKG,BR 855,14906.0,14913.170087272743,14887.0,-0.000481020211508341,0.0025493090030860054,-0.18868650717745608
上午8:45,早晨班機,TSA,SIN,JX 771,27932.25,26132.534692732763,28623.0,0.0644314477805131,0.24621181609071952,0.2616911275971118
中午12:25,下午班機,TSA,ICN,KE 186,17290.75,17894.530685178393,17436.0,-0.03491928835813331,0.044113181903618987,-0.7915839858123809
上午9:35,早晨班機,TSA,SIN,BR 215,22760.75,19341.33897374786,19404.0,0.15023279225210676,0.1553002427424404,0.9673699770145382
下午4:30,下午班機,TSA,HND,BR 190,26191.5,30672.40597988915,26172.0,-0.17108244964546324,0.0014699425386098543,-116.3871683088091
中午12:35,下午班機,TSA,NRT,CI 104,23839.5,24864.341803595864,24917.0,-0.04298923230755108,0.04482057090123535,-0.9591406678482581
下午1:30,下午班機,TSA,ICN,JX 745,20945.0,21166.774527597187,20924.0,-0.010588423375372955,0.11821437097159226,-0.08956967996655353
下午6:10,晚間班機,TSA,HKG,CI 923,14881.0,13478.619928044478,13361.0,0.09423963926856542,0.114844432497816,0.820585179611189
上午8:05,早晨班機,TSA,HKG,BR 851,21548.25,18310.89075902167,21839.0,0.1502376870965545,0.014165883540426716,10.60559947904449
下午3:15,下午班機,TSA,ICN,BR 160,20173.0,20115.246389126893,20178.0,0.0028629163175089172,0.00044614088137609676,6.417067874789709
中午12:25,下午班機,TSA,ICN,KE 186,18136.25,18393.93562030616,18752.0,-0.01420831871561991,0.034254600592735544,-0.41478570673023996
清晨7:00,早晨班機,TSA,ICN,CI 833,20888.75,21041.182971845006,21175.5,-0.007297371639997906,0.062366106157620727,-0.1170086139666139
上午9:40,早晨班機,TSA,ICN,BR 201,24548.5,23627.053568819367,21381.0,0.03753575294541961,0.13778845958001507,0.2724157963579108
下午2:30,下午班機,TSA,HKG,CI 915,14177.75,14737.68847154285,13361.0,-0.03949417019928053,0.07093861861014618,-0.5567372324562263
上午9:25,早晨班機,TSA,ICN,JX 741,20940.0,20952.22238177905,20921.0,-0.000583685853822871,0.11800382043935052,-0.004946330141258972
晚上10:30,晚間班機,TSA,ICN,CI 837,19304.0,21397.683419453853,19603.0,-0.10845852773797417,0.060298383754662246,-1.798697095750733
晚上7:30,晚間班機,TSA,HKG,CX 565,14312.5,14436.660431537945,14287.0,-0.008674964648939356,0.0024104803493449783,-3.5988530880563627
清晨7:15,早晨班機,TSA,HND,BR 192,38768.25,33139.27697010194,43157.0,0.1451954377589408,0.2938035634830048,0.49419222843204114
晚上9:15,晚間班機,TSA,HKG,CX 479,14341.0,14328.416324134098,14289.0,0.0008774615344747562,0.004253538804825326,0.20628976829348328
下午2:30,下午班機,TSA,HKG,CI 915,15022.0,14455.062815055244,13935.0,0.03774045965548903,0.12315270935960591,0.3064525324025709
上午10:05,早晨班機,TSA,ICN,CI 831,21191.75,22854.247670611046,21178.5,-0.07845023042509687,0.07577241143369472,-1.035340289964843
下午2:35,下午班機,TSA,NRT,CI 108,21560.5,23388.506372156444,23337.0,-0.08478497122777505,0.010180654437513044,-8.32804725356011
清晨7:55,早晨班機,TSA,NRT,BR 184,27651.0,25291.199969611433,25773.0,0.08534230336655338,0.07666992152182561,1.1131132218813997
上午10:05,早晨班機,TSA,ICN,CI 831,24579.5,21646.380380132712,24641.0,0.11933194816278964,0.24807258080921094,0.4810364280225154
下午5:10,下午班機,TSA,ICN,OZ 714,17376.5,18559.907229859487,17589.0,-0.06810388915256164,0.12139959140218111,-0.5609894429293611
晚上7:25,晚間班機,TSA,ICN,KE 188,17101.0,17771.43405952588,17435.0,-0.039204377494057654,0.024618443365885034,-1.592479951367886
上午9:30,早晨班機,TSA,HND,JL 96,40399.75,31327.656434770317,40337.0,0.22455816100915682,0.0018750116027945718,119.76361142217402
下午4:30,下午班機,TSA,HND,BR 190,26168.5,30672.40597988915,26167.0,-0.17211173662568166,0.0005923151881078396,-290.5745793476871
晚上8:15,晚間班機,TSA,HKG,CX 531,14342.0,14328.416324134098,14288.0,0.0009471256356088745,0.004392692790405801,0.21561390263337268
上午8:30,早晨班機,TSA,NRT,JX 800,24271.25,25084.364431454745,24973.0,-0.03350113535375168,0.09312458155224804,-0.3597453518215885
下午1:55,下午班機,TSA,ICN,TG 633,16668.75,16849.18325652856,16671.0,-0.010824642311424585,0.0038245219347581554,-2.8303255926048396
下午1:30,下午班機,TSA,HND,NH 852,38928.75,33853.814389916246,34123.0,0.13036472042086514,0.13349388305558232,0.9765595054762598
晚上8:15,晚間班機,TSA,HKG,CX 531,14284.0,14328.416324134098,14287.0,-0.003109515831286581,0.00042005040604872583,-7.402720689016254
上午9:50,早晨班機,TSA,HKG,CX 499,14342.25,14342.75190705508,14288.0,-3.499500113864035e-05,0.004340323171050567,-0.00806276393703879
下午4:35,下午班機,TSA,HKG,BR 871,14875.5,15022.184187183911,14873.0,-0.009860790372351281,0.10678632651003328,-0.09234132022909126
下午3:50,下午班機,TSA,HKG,CX 443,14342.75,14328.416324134098,14289.0,0.000999367336522109,0.004305311045650241,0.2321243055206879
下午3:00,下午班機,TSA,NRT,JX 804,24970.5,25993.111131009777,24966.0,-0.040952769508410994,0.1481948699465369,-0.2763440429698086
中午12:25,下午班機,TSA,ICN,KE 186,18115.0,17510.289329916326,17521.0,0.0333817648403905,0.07921611923820039,0.42140116382137555
晚上10:30,晚間班機,TSA,ICN,CI 837,19301.5,19535.72266206545,19586.0,-0.012134946095663601,0.060176670206978734,-0.20165532678902368
上午10:35,早晨班機,TSA,NRT,JL 802,28813.5,26861.93455447964,29717.0,0.06773094020234816,0.20440071494264841,0.33136351906279965
晚上9:15,晚間班機,TSA,HKG,CX 479,14341.5,14328.416324134098,14289.0,0.0009122947994214328,0.004288254366698044,0.21274269700654436
下午3:50,下午班機,TSA,HKG,CX 443,16908.5,14731.896376659335,14281.0,0.1287283687695931,0.15622320134843423,0.824002885989273
